Indice;Fecha;Open;Close;Variacion diaria;Descripcion
0;2021-01-01;28994.009766000003;29374.152344;380.1425779999954;Sube
1;2021-01-02;29376.455077999995;32127.267577999995;2750.8125;Sube
2;2021-01-03;32129.408202999995;32782.023438;652.6152350000011;Sube
3;2021-01-04;32810.949219;31971.914063;-839.0351560000017;Baja
4;2021-01-05;31977.041016000003;33992.429688;2015.3886719999937;Sube
5;2021-01-06;34013.613281;36824.363281;2810.75;Sube
6;2021-01-07;36833.875;36833.875;0.0;Estable
7;2021-01-08;39381.765625;40797.609375;1415.84375;Sube
8;2021-01-09;40788.640625;40254.546875;-534.09375;Baja
9;2021-01-10;40254.21875;38356.441406;-1897.777344000002;Baja
10;2021-01-11;38346.53125;35566.65625;-2779.875;Baja
11;2021-01-12;35516.359375;33922.960938;-1593.3984370000035;Baja
12;2021-01-13;33915.121094;37316.359375;3401.238280999998;Sube
13;2021-01-14;37325.109375;39187.328125;1862.21875;Sube
14;2021-01-15;39156.707031;36825.367188;-2331.3398430000016;Baja
15;2021-01-16;36821.648438;36178.140625;-643.5078129999965;Baja
16;2021-01-17;36163.648438;35791.277344;-372.3710939999946;Baja
17;2021-01-18;35792.238281;36630.074219;837.8359380000038;Sube
18;2021-01-19;36642.234375;36069.804688;-572.4296870000035;Baja
19;2021-01-20;36050.113281;35547.75;-502.3632809999981;Baja
20;2021-01-21;35549.398438;30825.699219;-4723.699218999998;Baja
21;2021-01-22;30817.625;33005.761719;2188.136719000002;Sube
22;2021-01-23;32985.757813;32067.642577999995;-918.1152350000011;Baja
23;2021-01-24;32064.376952999995;32289.378906;225.00195300000632;Sube
24;2021-01-25;32285.798827999995;32366.392577999995;80.59375;Sube
25;2021-01-26;32358.613281;32569.849608999997;211.2363279999954;Sube
26;2021-01-27;32564.029297000005;30432.546875;-2131.4824220000046;Baja
27;2021-01-28;30441.041016000003;33466.097656;3025.0566399999952;Sube
28;2021-01-29;34318.671875;34316.386719;-2.2851559999980964;Baja
29;2021-01-30;34295.933594;34269.523438;-26.410156000005372;Baja
30;2021-01-31;34270.878906;33114.359375;-1156.519530999998;Baja
31;2021-02-01;33114.578125;33537.175781;422.5976559999981;Sube
32;2021-02-02;33533.199219;35510.289063;1977.0898439999946;Sube
33;2021-02-03;35510.820313;37472.089844;1961.2695310000054;Sube
34;2021-02-04;37475.105469;36926.066406;-549.0390630000038;Baja
35;2021-02-05;36931.546875;38144.308594;1212.761719000002;Sube
36;2021-02-06;38138.386719;39266.011719;1127.625;Sube
37;2021-02-07;39250.191406;38903.441406;-346.75;Baja
38;2021-02-08;38886.828125;46196.464844;7309.636719000002;Sube
39;2021-02-09;46184.992188;46481.105469;296.1132810000054;Sube
40;2021-02-10;46469.761719;44918.183594;-1551.578125;Baja
41;2021-02-11;44898.710938;47909.332031;3010.6210930000016;Sube
42;2021-02-12;47877.035156;47504.851563;-372.18359300000157;Baja
43;2021-02-13;47491.203125;47105.515625;-385.6875;Baja
44;2021-02-14;47114.507813;48717.289063;1602.78125;Sube
45;2021-02-15;48696.535156;47945.058594;-751.4765619999962;Baja
46;2021-02-16;47944.457031;49199.871094;1255.4140630000038;Sube
47;2021-02-17;49207.277344;52149.007813;2941.7304689999946;Sube
48;2021-02-18;52140.972656;51679.796875;-461.1757809999981;Baja
49;2021-02-19;51675.980469;55888.132813;4212.152343999995;Sube
50;2021-02-20;55887.335938;56099.51953099999;212.1835929999943;Sube
51;2021-02-21;56068.56640599999;57539.945313;1471.3789070000057;Sube
52;2021-02-22;57532.73828099999;54207.320313;-3325.4179679999943;Baja
53;2021-02-23;54204.929688;48824.425781;-5380.503906999998;Baja
54;2021-02-24;48835.085938;49705.332031;870.2460930000016;Sube
55;2021-02-25;49709.082031;47093.851563;-2615.2304680000016;Baja
56;2021-02-26;47180.464844;46339.761719;-840.703125;Baja
57;2021-02-27;46344.773438;46188.453125;-156.32031299999653;Baja
58;2021-02-28;46194.015625;45137.769531;-1056.246094000002;Baja
59;2021-03-01;45159.503906;49631.242188;4471.738281999998;Sube
60;2021-03-02;49612.105469;48378.988281;-1233.1171880000038;Baja
61;2021-03-03;48415.816406;50538.242188;2122.4257819999984;Sube
62;2021-03-04;50522.304688;48561.167969;-1961.1367189999946;Baja
63;2021-03-05;48527.03125;48927.304688;400.27343799999653;Sube
64;2021-03-06;48899.230469;48912.382813;13.152343999994628;Sube
65;2021-03-07;48918.679688;51206.691406;2288.0117180000016;Sube
66;2021-03-08;51174.117188;52246.523438;1072.40625;Sube
67;2021-03-09;52272.96875;54824.117188;2551.1484379999965;Sube
68;2021-03-10;54824.01171900001;56008.55078099999;1184.5390619999816;Sube
69;2021-03-11;55963.179688;57805.12109400001;1841.9414060000126;Sube
